namespace,key,text
Overworld_Campaign.PuzzleCube_02,8B117F244A9D313FE0FC9BAD63C3771C,Shapes can be rotated.
Overworld_Campaign.PuzzleCube_03,D23827B140C523EF4E8B1DA5E7A1DB63,"Use Z to undo, Y to redo, and R to restart."
Overworld_Campaign.PuzzleCube_04,682284D842300328BCE83F8696ACA765,"Cells containing <input action=""Palisade^""/> must lie in a corner of a region and must be connected to two other cells."
Overworld_Campaign.PuzzleCube_04,891D87B64D437E50686A6F8490C6C096,"You can choose colors freely, even after completing the panel."
Overworld_Campaign.PuzzleCube_05,15A0315442A362217813CEAB9A61F0D7,Mirror reflections of shapes can also be used.
Overworld_Campaign.PuzzleCube_06,539B064A435E36A6AB6DADA5F1157059,Drag from corners along dotted lines to place metal borders. Use them to mark edges you are absolutely sure of.
Overworld_Campaign.PuzzleCube_07,C85FB19F401B81BF4AE8F9B30D37D37F,Switch colors quickly with keys 1 to 9 or the scroll wheel.
Overworld_Campaign.PuzzleCube_08,78A8EE8F44CEE1E53191A2A3767955A4,"Use TAB to switch to coloring, border-drawing, and note-taking modes."
Overworld_Campaign.PuzzleCube_09,FA00B4DB4698516E92590682C4EB31B9,You can complete the entire panel in border-drawing mode if you prefer.
Overworld_Campaign.PuzzleCube_10,D558372D409A50E2712FD0AB38D14E52,Shift-click or middle click to place metal borders around an entire shape. You can use this to mark regions that you are absolutely sure of.
Overworld_Campaign.PuzzleCube_10a,48D09BB9484C8879DBBA1AB2E4E46ABF,Puzzles can always be solved with logic. Guessing is never required.
Overworld_Campaign.PuzzleCube_10b,D8E402FF469310F53D8D13AF9C15125E,Each puzzle has a single unique solution.
Overworld_Campaign.PuzzleCube_10c,C42669994B5486F6F2A4DF86CC3110DA,"The first step here is not obvious. Instead of guessing, try joining cells that you know are connected."
Overworld_Campaign.PuzzleCube_11,5D720BE944AC71AB95AEC29EF72EAB16,Borders must always separate two different regions.
Overworld_Campaign.PuzzleCube_GD8,034874744F01BA62BC8674ABE44F8F64,It's helpful to use colors or notes to mark which shape occupies a cell.
Overworld_Campaign.PuzzleCube_SlashPack_Tut3,B501CF82413D1EFB93F5D88757D95037,You can press Q to flood an entire region with color.
Overworld_Campaign.PuzzleCube_SlashPack_Tut5,6184373C40C6D68A6DCCB1891DBB0E6F,Remember: A single region can never touch both sides of a border.
Overworld_Campaign.SizeXPuzzleCube04,3C2F15E445C664A1F65FD28B8C6C1248,Hold Ctrl to see the size of an area.
Overworld_Campaign.TutorialSign,270BE365419FF8F15D8950ADD1E00D91,Click and drag<br>to explore.
Overworld_Campaign.TutorialSign2,F75E382A40E113DE1ABC1AAB85E96F92,Scroll to zoom.
Overworld_Campaign.TutorialSign3,B9CD430B4F26EAD9A5EEFA83CEE10E79,Your progress is<br>saved automatically.
Overworld_Campaign.TutorialSign4,8F02E599411BA94F760BE4B05E44C145,Drag the camera around<br>to find secret puzzles.
Overworld_Campaign.TutorialSign4,004C9DCA4EA38363074130978DF372EF,The camera cannot<br>be rotated.
PuzzleUIWidget,RangeRuleText,All regions have an area <b>between {0} and {1}</>
PuzzleUIWidget,RangeRuleTitle,Range ({0}-{1})
RuleData,1911BCDC41EF2462BE44ECB7318A2F48,<b>All regions</> must have the <b>same shape</>.
RuleData,64F21CD245418C8F4B6D40B88114FDF8,<b>All</> regions are <b>rectangular</>.
RuleData,DBD0802D46DADAF0783D1E80B6516431,<b>All</> regions must have <b>different shapes</>.
RuleData,AE971780472AF81F857B1784C55E4639,<b>Counts</> how many regions are <b>touching</> the clue.
RuleData,BE0E0B8E4F269FF74F22B2A4FF6873D8,<b>Each</> region contains <b>exactly one</> of each symbol.
RuleData,F3877AAC470122500820ABAFD749F837,<b>Neighboring</> regions must have <b>different areas</>.
RuleData,45A3382D43EA3BE7F9B741BED46CF668,<b>Neighboring</> regions must have <b>different shapes</>.
RuleData,B6751BCC4120DDF933C0D8BC8C0F1FDF,<b>No</> regions are <b>rectangular</>.
RuleData,7C7F8C00416A66238C1AB283C4589467,All regions have an area of <b>at least {0}</>.
RuleData,4B2E78B44A93B126DCA4E088BDEA9040,All regions have an area of <b>at most {0}</>.
RuleData,9C8A7A4F4E66A8FD958D348A9B88246C,All regions must be one of these shapes:
RuleData,FF80FF02447335A02328768FC23CA722,All regions must have an <b>area of exactly {0}</>.
RuleData,523BC0584F9F8356D46723A60547F422,Area Number
RuleData,1D4A0CDB46719854AA758B88D281A914,Boxy
RuleData,C13774A24722E39BA998028072ADC4BC,Bricky
RuleData,272AEBC040104AF094A51F9F26CEE541,Compass
RuleData,619835EC458BE28F406668A683117453,"Counts the cells within the region that are farther north, south, east, or west."
RuleData,1B2CF8544CC3428A6176E797B5E9C34F,Delta
RuleData,EA6CE0DB498EAD2593F4AD80996C0521,Depicts the <b>shape of its region</>.
RuleData,ACF593A8499A8177AEE86FBED0770D2B,Difference
RuleData,49E336F241E7F575A6F22E9357E7DA31,Each region contains <b>exactly one symbol</>.
RuleData,77E86CA349F70CB83847E2A500846F7A,Elusive
RuleData,A861EA9944067694EA7237B9A2CF51F2,Gemini
RuleData,2B49C41746B8C172843075ABEDA2EDCC,Indicates the <b>difference</> between the <b>areas</> of the regions.
RuleData,E6ABC63A4E6DF77AA272D0BA52A1E164,Inequality
RuleData,807760024D1ACA9751FE9C958458647A,Loopy
RuleData,7DB04A174E37F8AB8B0BD586577ED2D9,Match
RuleData,5E74FBA445ABD59A6F8EC880584CA2DA,Maximum ({0})
RuleData,2C00C6C045A847A8308DB689F85D0B8B,Mingle Shape
RuleData,338B76144CF75DB26C41959D8D395C27,Minimum ({0})
RuleData,C89AFB8A4D810DD066FF9485E811572C,Mismatch
RuleData,7D6B921047117CDB59EDF09B6024050C,Non-Boxy
RuleData,20575CC1478DE6DF1EB3698460EE5C66,Palisade
RuleData,6E60598C4097F6E37901B1993058844E,Polyomino
RuleData,A24B653A416980122B4470B1BDB8D31F,Precision ({0})
RuleData,B87ED0164F4A79CEC63D78886FFD3366,Rose Windows
RuleData,6FFBB24F40ADF0E9B0291EB36285115E,Shape Bank
RuleData,100C791C472A565AB823D89EA75A478C,Shows the <b>area</> of a region.
RuleData,C2FB6A1B417EAFA7E74754B9AA5DC78E,Shows the <b>shape</> that must be made by the <b>borders</> of that cell. All rotations can be used.
RuleData,E4858B23465E54C128E984A839666954,Size Separation
RuleData,DEC087054039B1DCBC1AD59122C666AD,Solitude
RuleData,CACEE64747557870DC157D8B7CCA2D3A,The tip <b>points toward</> the <b>smaller region</>.
RuleData,E86915E34E225153E58EFF96087A802A,The two regions touching this symbol must be <b>different shapes</>.
RuleData,A8B4782D4FE454A7710CBB91610A4541,The two regions touching this symbol must be the <b>same shape</>.
RuleData,C593A90145E30152F6446692E5137C03,There cannot be a point where 4 borders meet.
RuleData,83E2C6754B8F5BB0740091A306DC8CCC,There cannot be a point where exactly 3 borders meet.
RuleData,7EE292DA4DDF9DC794D811A0E52C124F,This shape must not fit inside any region.
RuleData,79C2BE9847A01963B8361389BF6DA7C7,Watchtower
ShapeBank,ShapeBankRuleTextPlural,All regions must be one of these shapes:
ShapeBank,ShapeBankRuleTextSingular,All regions must be this shape:
WBP_ControlsPanel,30882F81488F93A1AB12B78E82A13889, or 
WBP_ControlsPanel,2D01F5644A94393B7CBF69864E62EB7D,Change input mode
WBP_ControlsPanel,255D4A514DAEE5FCA0542F853042609C,Choose color
WBP_ControlsPanel,9B3DF1744E605BCA92BA908AFB55DEEA,Color cells and merge regions
WBP_ControlsPanel,EEF2FF5E40963CF271109EB4D354D412,Controls
WBP_ControlsPanel,2FE1518D447033A9B1466DA5D16EC788,Draw borders
WBP_ControlsPanel,DCDDBE354BC3918F7CA3D7B15407966B,Erase color or borders
WBP_ControlsPanel,CC5544C4426AFA39BD6B7BACA606EDCD,Erase notes
WBP_ControlsPanel,38BF1D464DF4D77026CC1595562364CE,Hold to measure area
WBP_ControlsPanel,20409B394811A25A70B6908EBF19225E,Next or previous color
WBP_ControlsPanel,FB0FCDB543C6D1CBAC985C9FAC37A5B4,Outline shape with borders
WBP_ControlsPanel,7C59F0D04A15277BE9D7598C5A642CA0,Paint bucket
WBP_ControlsPanel,8F0729A24B684A747ED93E81BEC11158,Press 
WBP_ControlsPanel,FD8644F3489D0C93210A5C8CC0F58706,Redo
WBP_ControlsPanel,D5A09B8548C5BE481176709FAD66683A,Restart
WBP_ControlsPanel,9AA43C6B4503CA80DDB7778716D055FE,Undo
WBP_ControlsPanel,27D817B149FA33A93F984CB80F98CA99,Use Auto Palette
WBP_ControlsPanel,232297B84C2F8338F40AF8BC409FC338,[Backspace]
WBP_ControlsPanel,29F0D7404E5BE947C338F6AB080D704C,[Click and drag]
WBP_ControlsPanel,8062905E4A14127358973FAD1E879934,[Ctrl]
WBP_ControlsPanel,E860373F48114A6A8A617682218D7C6D,[Drag from corners]
WBP_ControlsPanel,1475AAAE43757A1804391F877086F0F9,[Hold and drag]
WBP_ControlsPanel,5CE7B01348CDC18F0C45FBA571A9ACF3,[Right-Click]
WBP_ControlsPanel,26AE961D49BDFBE8C48A149BDB61369C,[Scroll Wheel]
WBP_ControlsPanel,345574EE4593CA5E9DE472A90180D0AE,[Shift + Click] / [Middle-Click]
WBP_ControlsPanel,DBE0E0ED4F345E60F8E1AB92151C2624,[Shift + Z]
WBP_ControlsPanel,DDFF370E4D7D894F8C22CC99337941D2,[Tab]
WBP_Credits,22A0F6CA4F285FF61C5F2682F2790628,983 Team
WBP_Credits,D96239CE4DEB450688E486BCED80358A,Artists
WBP_Credits,5CC8788448CCBB2AF6EB8A83812DA61D,CREDITS
WBP_Credits,0E51FF4D4ECE9F780B049F9FEACAE0CB,Directors
WBP_Credits,DF9FD5E84127686B5CB2B4BDDAD37881,Localization Team
WBP_Credits,872B7BE34946AC0F1E6218B259825C5E,Programmers
WBP_Credits,F066D88C4B8D1FD6D6DC40BE50FA8961,Puzzle Designers
WBP_Credits,FFBB9A1D49D8E3C507A0208AF90C47B9,Puzzle Editor-in-Chief
WBP_Credits,8CBCF9D0468667C8F53FD8B379DB21AA,Testers & Special Thanks
WBP_Credits,5FC067D54DAAEBF16F8576959B795A0E,Trailer Voice Actor
WBP_EscapeMenu,ED7C605041CDD40F5F214B948451A56D,Main Menu
WBP_EscapeMenu,DA721EC74F7F35CB58CDB3BEB6305D74,Quit
WBP_EscapeMenu,CB2B4A574174DEA9844BAF83A052CBA4,Resume
WBP_EscapeMenu,4AC5C3FC4E2905ED6E3D7A8C3DEDA954,Settings
WBP_MainMenu,7B594D2F4ACA37CA820681823C0040C7,Back
WBP_MainMenu,EBF8D28C422A3307A8CABAA92A2F53E5,Back
WBP_MainMenu,4A6D327B4C309047802E8BA75885ADD8,Cancel
WBP_MainMenu,F0AF858F4C17E24096CF7DA7D6B2161F,Cancel
WBP_MainMenu,03DA79A04A434DED7FB559A2B6D1AB94,Confirm
WBP_MainMenu,471A147E4C3EB7156222899A461E6580,Credits
WBP_MainMenu,8A7F3E934BF7DD2ED7E5C1A20BC9D2CA,Delete Save {Num}?
WBP_MainMenu,2E3831B24899A8F29A5689B8B15E62B0,Erase Save
WBP_MainMenu,56D3A9EC472DAEF6CCEB9298CCF3CB40,Load Backup
WBP_MainMenu,3BCF2E574A89E5A9840E21B713A059F7,Loading
WBP_MainMenu,5E8D8BAC435CA9E8C5690A9844379535,New
WBP_MainMenu,289B01C04B320134238E41BDAE813250,OK
WBP_MainMenu,C8A8C75B4852E26BF7C3669A8BB765D1,Play
WBP_MainMenu,08A362C04835108137453E89049F5FA3,Quit
WBP_MainMenu,57544E89483E270495B8D7B3521039DB,Quit
WBP_MainMenu,1E4F697042C5ECCE147385844FF3C2AC,Settings
WBP_MainMenu,236BDEEC47DDF94EAE8D498ACF863673,Settings
WBP_MainMenu,3A4EF3D046529EE660FB72B87578B349,Slot 1
WBP_MainMenu,7E1A308A4D43C2AB39450DB48049ABF9,Slot 1
WBP_MainMenu,75E7FF964C86E31909DC27BC9510D224,Slot 2
WBP_MainMenu,C293A8DE435E6947A4F432BF512DCF56,Slot 2
WBP_MainMenu,27F2A58F4AEFC650B96DB3946C17757D,Slot 3
WBP_MainMenu,C87986AF47422965D6639998F8600FFC,Slot 3
WBP_MainMenu,532F0F484001B7BEBD055E9714A7AD58,"Unable to load save files. Restart the game and try again. If the issue persists, contact support or restore a backup from:
C:\Users\[username]\AppData \Local\Geri\Saved\SaveGames

"
WBP_MainMenu,696756FF4339943AA279C7B64258A51E,Warning!
WBP_MainMenu,A00F2A9C41F2EC53A5CB3387C4B377A6,Workshop
WBP_MainMenu,01D530C748692F25862CBDA950AE6498,{numSolved} solved
WBP_MainMenu,E6E4FA2C4E71261229B85B9402F555AB,{numSolved} solved
WBP_MainMenu,FE2AE5A644BFD7892744899A49F45C28,{numSolved} solved
WBP_Note_CompletionStats,346ACBB348ACE7A46274E8B3ADB43AA6,"<b>Well done, Artisan.</>"
WBP_Note_CompletionStats,1680D4DF485093E46AB091B8019441F3,"<red>Across all of Glimmith, your restoration progress is:</>"
WBP_Note_CompletionStats,2216BDDA46142E582F8CD8A55F3BA6DA,{0} ({1}%)
WBP_Note_CompletionStats,98A0ADCE47480EA218A6649DADAF08C7,{0} ({1}%)
WBP_Note_CompletionStats,E01B203541667B8F37DD32AE44A72193,{0} ({1}%)
WBP_Note_CSides,24B0A04140266D2296FEB9A6505E2E2B,"<red>Furthermore, I have delivered a collection of weighty designs across these lands and laid them atop crimson plinths.</>"
WBP_Note_CSides,7B58A49B4B67F63EE0B9D8B5E68F48D6,Fig. 1
WBP_Note_CSides,BA3E0CD84179486EF06D69978E661DE3,"Should you rise to their challenge, you will have Glimmith's unwavering regard."
WBP_Note_CSides,0F04CC3E46F7666E7A8BD8806A6B6663,"With gratitude,
~ Elias Vidimus"
WBP_Note_FinalChallenge,40CA659F4E0A559E3FDAC28169F9D590,"<red>Once you have fully completed ten areas, the way forward shall open.</>"
WBP_Note_FinalChallenge,DC80BF854A37D41B42597BA23924CEBF,Fig. 1
WBP_Note_FinalChallenge,5A01208B47AF81CB439088AFDE1FFD79,The windows are newly imbued with an enchantment that will reveal any artworks I've hidden too well.
WBP_Note_FinalChallenge,10CE59F043DF3140E358E8A99DA1A908,"With shining regard,
~ Elias Vidimus"
WBP_Note_Metallicize,C7560F814D7E9078F7136CB85E8BEE23,"<b>Respected Artisan,</>

    The areas ahead contain a vast collection of glasswork designs. But fear not! You need only complete a fraction of them to restore the windows. "
WBP_Note_Metallicize,FF80998344E3CFD0C8C1B2BA2BD99F25,"<red>If ambition beckons, complete more glassworks to metallicize the frames and reveal extra challenges.</>"
WBP_Note_Metallicize,41FAA92C4EDAC4551973F7AC06907AB7,"If you thoroughly master an area, its frame will become gilded."
WBP_Note_Metallicize,82EF7C7F49360C03684A5780B9BE9D18,"Yours truly,
~ Elias Vidimus"
WBP_Note_OptionalArea,4F6F77BA4E7B7BCA2FCFE6A7C92A3A8D,"<red>This area is optional.</>
<red>You may proceed as soon as FOUR windows are complete.</>"
WBP_Note_OptionalArea,6EDBBA274C8CD1C4928B2EB9CB17CA36,Fig. 1
WBP_Note_OptionalArea,61E3EEDD4B16C5926109E3B2EAA19B4D,I commend your diligence and persistence.
WBP_Note_OptionalArea,406BB67146FC2EC77E921BBC2CB29074,"Yours truly,
~ Elias Vidimus"
WBP_Note_Welcome,CC4EA3BE4EE92F67B0D9D7A62F460E03,"<b>Dearest Esteemed Artisan,</>

    Thank you for accepting my invitation to restore the artworks of Glimmith.

On that point, I have only one request."
WBP_Note_Welcome,219FF161475740E3D1D4958436C22888,"<red>When shaping each piece of glass, you must follow the rules very closely!</>"
WBP_Note_Welcome,13870D434BCA3A32760043A40D7BAF14,Fig. 1
WBP_Note_Welcome,ECDD5B9644A88FD0DCC55FB02241A9A5,I care only about the shapes. Let your creativity run free with the colors!
WBP_Note_Welcome,C22D257B445DAD49E0BF5297956C8B64,"Yours truly,
~ Elias Vidimus"
WBP_Note_Windows,9EC1F6014A8CF8B5D2D3118F148F736F,"<b>Dearest Artisan,</>

    I hope this letter finds you in the best of spirits and creative fervor!

There is much work to be done..."
WBP_Note_Windows,B44FA5194BD8BB86C842D3A1EAD68732,<red>These window frames show your restoration progress.</>
WBP_Note_Windows,C7BB1CBF4D9DF6802BE4F7B4252F8EA3,Each glasswork you restore contributes to a window. Complete windows to progress onward.
WBP_Note_Windows,06D5E8A24D55CC1EC6967FAB41EB4378,Fig. 1
WBP_Note_Windows,686A6D54407BDFB1CF4077885620FBC6,Fig. 1
WBP_Note_Windows,37BAA34E44670B3402C181B6719732D8,"Yours truly,
~ Elias Vidimus"
WBP_PuzzleCounter,8DEEDD3343BD401A5A9B78BEEAFD242C,"<input action=""TogglePuzzleHighlights""/>: Hide hidden puzzles"
WBP_PuzzleCounter,90715CA84754A6D3A9AF70A4E742070E,"<input action=""TogglePuzzleHighlights""/>: Show hidden puzzles"
WBP_PuzzleCounter,F18C935E48E77AE07F95B4A417AEE955,"Restoration
Progress"
WBP_PuzzleListEntry,A03F22EF429702A706D3AC9F5057E1F1,Find more puzzles
WBP_PuzzleListEntry,4D8AB1F743998EFC4FA1B0832E391473,New puzzle
WBP_PuzzleUI,F485BF304EF45F30962CF7BD5C46186B,"<h1>Challenge Ahead!</>

Difficulty 5-6 puzzles are <b>very challenging</>.

They may require careful logic, advanced techniques, and lots of persistence.

Early ""break-in"" steps may be difficult to spot.

These puzzles are <b>optional</>. Feel free to come back later if you get stuck."
WBP_PuzzleUI,4242A0DD4D300723950E188AEB4030D7,"<h1>Extra puzzles</>

Some areas have more puzzles than necessary to gild the window.

You do not need to find them all.

Later, you will discover the true number of puzzles and a way to locate every last one."
WBP_PuzzleUI,9F751D9D40611892B572519F4490E45C,"<h1>Extreme Challenge Ahead!</>

Difficulty 7 is the highest in the game. These puzzles are <b>diabolically tough</>.

We recommend saving them until you've completed most of the game.

As you gain experience, you'll learn subtle tricks to help overcome them."
WBP_PuzzleUI,FA75B8364875F8883F7128B1F25CAEE1,"<h1>Note what you know</>

The key to success in trickier puzzles is <b>marking down partial progress</>!

Merge cells when you know they belong to the same region. Draw borders when you know they exist.

Do this immediately, even if you don't know the full shape of a region.

Filling in the facts will reveal new ways to make further progress, until the puzzle is complete."
WBP_PuzzleUI,85AB8C7E4A530263DAF38ABF478DC5EC,"<h1>Secret puzzles</>

Some puzzles are tucked away in hidden locations.

They are totally optional.

Later, you will discover a way to find puzzles that you missed."
WBP_PuzzleUI,73257C604F8679098F71028455D67A21,Add rule:
WBP_PuzzleUI,F8B9260C4C0FAF363F8A0383908DF8C9,Adjust grid size?
WBP_PuzzleUI,C74A40584176B202A278CBB44DAABCB0,Area Number
WBP_PuzzleUI,927ACC454F7CD8294AD842875793F8CA,Borders
WBP_PuzzleUI,B3DB871648734B01244D7D9F484F8AE2,"Changing the grid size will clear the grid and discard all changes.
This cannot be undone."
WBP_PuzzleUI,7A4F0828437AAFB8A9ED28AFC27F4CA1,Check Progress
WBP_PuzzleUI,1D279FE94CC18DB5A63523AAEB538110,Clear Notes
WBP_PuzzleUI,D0ED071943D54B46E9B9FF9B7E684310,Coloring
WBP_PuzzleUI,DE041E0E4CAE62469A538CB98F26A833,Coloring and Borders
WBP_PuzzleUI,5BF6409B401BB246CB42DFB29B1BC2B9,Compass
WBP_PuzzleUI,8E5747034BEE0AB16950108AE79A1E70,Confirm
